Search terms report
"January 17, 2024 - February 15, 2024"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Impr.,Interactions,Clicks,Currency code,Cost,Conversions,Campaign type
patriot com solar generator,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar panel power""",1,0,0,USD,0.00,0.00,Search
how to go solar,Exact match,Added,G_S_NB_Generic_TX,Solar - list,[how to go solar],4,0,0,USD,0.00,0.00,Search
rec alpha pure rx 470 price,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar pv panels""",1,0,0,USD,0.00,0.00,Search
full size solar panel,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[how big is a solar panel],1,0,0,USD,0.00,0.00,Search
top 10 solar panel manufacturers in usa,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Systems,"""best solar system""",1,0,0,USD,0.00,0.00,Search
powerwall cost,Broad match,None,G_S_NB_Generic_TX,Solar Panels,solar power panel,2,0,0,USD,0.00,0.00,Search
generac power cell,Broad match,None,G_S_NB_Generic_TX,Solar Panels,solar power panel,1,0,0,USD,0.00,0.00,Search
how many solar panels do i need for 1500 kwh per month,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""how much solar""",1,1,1,USD,4.14,0.00,Search
gunes panel,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[panel solar],1,0,0,USD,0.00,0.00,Search
spartan solar reviews,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,"""solar""",2,0,0,USD,0.00,0.00,Search
roi solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[roi on solar panels],1,0,0,USD,0.00,0.00,Search
solar power options for residential homes,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar - list,solar,1,0,0,USD,0.00,0.00,Search
solar panel grants texas,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Leasing/Financing,"""solar financing""",1,0,0,USD,0.00,0.00,Search
q plus l g4 2 345,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""high capacity solar panels""",1,0,0,USD,0.00,0.00,Search
newest solar panels,Exact match (close variant),None,G_S_NB_Generic_TX,Solar Panels,[newest solar panel technology],2,0,0,USD,0.00,0.00,Search
go sunvalue,Phrase match (close variant),None,G_S_NB_Generic_TX,Home/Residential Solar,"""solar for home""",1,1,1,USD,32.26,0.00,Search
srec solar,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Incentives/Credits,"""solar program""",1,0,0,USD,0.00,0.00,Search
solar roof tile,Exact match,Added,G_S_NB_Generic_TX,Solar Products,[solar roof tile],1,0,0,USD,0.00,0.00,Search
solar panel and battery installation cost,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Cost,"""solar panels cost""",1,0,0,USD,0.00,0.00,Search
solar panel dish,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,"""solar pannels""",1,0,0,USD,0.00,0.00,Search
tesla solar 4.0,Phrase match (close variant),None,G_S_NB_Generic_TX,Home/Residential Solar,"""home solar panel""",2,0,0,USD,0.00,0.00,Search
how many solar panels do i need for 4000 kwh per month,Phrase match (close variant),None,G_S_NB_Generic_TX,Solar Panels,solar panels,1,0,0,USD,0.00,0.00,Search
solar batteries,Phrase match,None,G_S_NB_Generic_TX,Solar - list,"""solar""",2,0,0,USD,0.00,0.00,Search
